ID	Enzyme	Tag_length_bp
1	CspCI	33
2	AloI	27
3	BsaXI	27
4	BaeI	28
5	BcgI	32
6	CjeI	28
7	PpiI	27
8	PsrI	27
9	BplI	27
10	FalI	27
11	Bsp24I	27
12	HaeIV	27
13	CjePI	27
14	Hin4I	27
15	AlfI	32
16	BslFI	25
